"date_format","category","tweets","country"
"2021-11","Positivo",49,"Cánada"
"2020-12","Negativo",3,"Francia"
"2020-12","Neutral",6,"Francia"
"2020-12","Positivo",12,"Francia"
"2021-01","Negativo",11,"Francia"
"2021-01","Neutral",4,"Francia"
"2021-01","Positivo",8,"Francia"
"2021-02","Negativo",15,"Francia"
"2021-02","Neutral",14,"Francia"
"2021-02","Positivo",38,"Francia"
"2021-03","Negativo",27,"Francia"
"2021-03","Neutral",32,"Francia"
"2021-03","Positivo",45,"Francia"
"2021-04","Negativo",25,"Francia"
"2021-04","Neutral",25,"Francia"
"2021-04","Positivo",35,"Francia"
"2021-05","Negativo",12,"Francia"
"2021-05","Neutral",21,"Francia"
"2021-05","Positivo",32,"Francia"
"2021-06","Negativo",14,"Francia"
"2021-06","Neutral",26,"Francia"
"2021-06","Positivo",38,"Francia"
"2021-07","Negativo",10,"Francia"
"2021-07","Neutral",17,"Francia"
"2021-07","Positivo",14,"Francia"
"2021-08","Negativo",15,"Francia"
"2021-08","Neutral",15,"Francia"
"2021-08","Positivo",36,"Francia"
"2021-09","Negativo",11,"Francia"
"2021-09","Neutral",2,"Francia"
"2021-09","Positivo",6,"Francia"
"2021-10","Negativo",7,"Francia"
"2021-10","Neutral",10,"Francia"
"2021-10","Positivo",13,"Francia"
"2021-11","Negativo",9,"Francia"
"2021-11","Neutral",13,"Francia"
"2021-11","Positivo",9,"Francia"
"2020-12","Negativo",3,"Alemania"
"2020-12","Neutral",5,"Alemania"
"2020-12","Positivo",8,"Alemania"
"2021-01","Negativo",1,"Alemania"
"2021-01","Neutral",1,"Alemania"
"2021-01","Positivo",9,"Alemania"
"2021-02","Negativo",20,"Alemania"
"2021-02","Neutral",21,"Alemania"
"2021-02","Positivo",22,"Alemania"
"2021-03","Negativo",31,"Alemania"
"2021-03","Neutral",34,"Alemania"
"2021-03","Positivo",46,"Alemania"
"2021-04","Negativo",24,"Alemania"
"2021-04","Neutral",24,"Alemania"
"2021-04","Positivo",52,"Alemania"
"2021-05","Negativo",17,"Alemania"
"2021-05","Neutral",13,"Alemania"
"2021-05","Positivo",35,"Alemania"
"2021-06","Negativo",18,"Alemania"
"2021-06","Neutral",29,"Alemania"
"2021-06","Positivo",50,"Alemania"
"2021-07","Negativo",13,"Alemania"
"2021-07","Neutral",13,"Alemania"
"2021-07","Positivo",26,"Alemania"
"2021-08","Negativo",20,"Alemania"
"2021-08","Neutral",8,"Alemania"
"2021-08","Positivo",35,"Alemania"
"2021-09","Negativo",6,"Alemania"
"2021-09","Neutral",3,"Alemania"
"2021-09","Positivo",30,"Alemania"
"2021-10","Negativo",10,"Alemania"
"2021-10","Neutral",16,"Alemania"
"2021-10","Positivo",16,"Alemania"
"2021-11","Negativo",16,"Alemania"
"2021-11","Neutral",16,"Alemania"
"2021-11","Positivo",30,"Alemania"
"2020-12","Negativo",1,"China"
"2020-12","Neutral",1,"China"
"2020-12","Positivo",1,"China"
"2021-01","Positivo",1,"China"
"2021-02","Negativo",33,"China"
"2021-02","Neutral",111,"China"
"2021-02","Positivo",110,"China"
"2021-03","Negativo",53,"China"
"2021-03","Neutral",109,"China"
"2021-03","Positivo",166,"China"
"2021-04","Negativo",22,"China"
"2021-04","Neutral",65,"China"
"2021-04","Positivo",85,"China"
"2021-05","Negativo",9,"China"
"2021-05","Neutral",26,"China"
"2021-05","Positivo",50,"China"
"2021-06","Negativo",25,"China"
"2021-06","Neutral",62,"China"
"2021-06","Positivo",127,"China"
"2021-07","Negativo",14,"China"
"2021-07","Neutral",25,"China"
"2021-07","Positivo",120,"China"
"2021-08","Negativo",22,"China"
"2021-08","Neutral",41,"China"
"2021-08","Positivo",114,"China"
"2021-09","Negativo",11,"China"
"2021-09","Neutral",22,"China"
"2021-09","Positivo",66,"China"
"2021-10","Negativo",15,"China"
"2021-10","Neutral",14,"China"
"2021-10","Positivo",35,"China"
"2021-11","Negativo",13,"China"
"2021-11","Neutral",28,"China"
"2021-11","Positivo",60,"China"
"2020-12","Negativo",2,"Italia"
"2020-12","Neutral",4,"Italia"
"2020-12","Positivo",5,"Italia"
"2021-01","Negativo",1,"Italia"
"2021-01","Positivo",1,"Italia"
"2021-02","Negativo",4,"Italia"
"2021-02","Neutral",8,"Italia"
"2021-02","Positivo",8,"Italia"
"2021-03","Negativo",9,"Italia"
"2021-03","Neutral",24,"Italia"
"2021-03","Positivo",32,"Italia"
"2021-04","Negativo",5,"Italia"
"2021-04","Neutral",6,"Italia"
"2021-04","Positivo",10,"Italia"
"2021-05","Negativo",2,"Italia"
"2021-05","Neutral",3,"Italia"
"2021-05","Positivo",6,"Italia"
"2021-06","Negativo",10,"Italia"
"2021-06","Neutral",4,"Italia"
"2021-06","Positivo",9,"Italia"
"2021-07","Negativo",4,"Italia"
"2021-07","Neutral",7,"Italia"
"2021-07","Positivo",5,"Italia"
"2021-08","Negativo",3,"Italia"
"2021-08","Neutral",5,"Italia"
"2021-08","Positivo",5,"Italia"
"2021-09","Negativo",1,"Italia"
"2021-09","Neutral",2,"Italia"
"2021-09","Positivo",4,"Italia"
"2021-10","Negativo",2,"Italia"
"2021-10","Neutral",3,"Italia"
"2021-10","Positivo",3,"Italia"
"2021-11","Negativo",2,"Italia"
"2021-11","Neutral",5,"Italia"
"2021-11","Positivo",4,"Italia"
"2020-12","Negativo",5,"Israel"
"2020-12","Neutral",5,"Israel"
"2020-12","Positivo",6,"Israel"
"2021-01","Neutral",3,"Israel"
"2021-01","Positivo",3,"Israel"
"2021-02","Negativo",9,"Israel"
"2021-02","Neutral",5,"Israel"
"2021-02","Positivo",11,"Israel"
"2021-03","Negativo",7,"Israel"
"2021-03","Neutral",7,"Israel"
"2021-03","Positivo",8,"Israel"
"2021-04","Negativo",3,"Israel"
"2021-04","Neutral",4,"Israel"
"2021-04","Positivo",6,"Israel"
"2021-05","Negativo",2,"Israel"
"2021-05","Neutral",1,"Israel"
"2021-06","Negativo",1,"Israel"
"2021-06","Neutral",2,"Israel"
"2021-06","Positivo",4,"Israel"
"2021-07","Negativo",2,"Israel"
"2021-07","Neutral",3,"Israel"
"2021-07","Positivo",5,"Israel"
"2021-08","Negativo",4,"Israel"
"2021-08","Neutral",4,"Israel"
"2021-08","Positivo",9,"Israel"
"2021-09","Negativo",2,"Israel"
"2021-09","Neutral",1,"Israel"
"2021-09","Positivo",5,"Israel"
"2021-10","Negativo",3,"Israel"
"2021-10","Positivo",6,"Israel"
"2021-11","Negativo",4,"Israel"
"2021-11","Positivo",5,"Israel"
